#Lam(nm)  R%(0-100)  T%(0-100)
206.600  67.323  0.000  
218.538  66.876  0.000  
230.477  65.327  0.000  
242.415  64.996  0.000  
254.353  69.040  0.000  
266.292  72.785  0.000  
278.230  72.650  0.000  
290.168  68.086  0.000  
302.107  60.691  0.000  
314.045  57.435  0.000  
325.983  56.032  0.000  
337.922  55.496  0.000  
349.860  55.983  0.000  
361.798  58.131  0.000  
373.737  56.047  0.000  
385.675  51.576  0.000  
397.614  48.409  0.000  
409.552  46.169  0.000  
421.490  44.453  0.002  
433.429  43.082  0.035  
445.367  41.595  0.182  
457.305  40.255  0.549  
469.244  38.970  1.030  
481.182  38.574  4.711  
493.120  41.736  5.147  
505.059  37.851  8.977  
516.997  29.585  11.932  
528.935  47.986  13.468  
540.874  27.734  18.713  
552.812  47.781  20.476  
564.750  17.500  28.677  
576.689  35.809  33.081  
588.627  48.764  19.807  
600.565  32.177  34.737  
612.504  42.454  31.782  
624.442  48.811  25.272  
636.380  27.749  45.974  
648.319  32.564  45.833  
660.257  62.350  23.025  
672.195  15.649  56.599  
684.134  30.056  54.188  
696.072  43.094  40.392  
708.011  65.065  24.698  
719.949  30.688  52.773  
731.887  30.486  57.785  
743.826  8.410  72.319  
755.764  57.967  32.493  
767.702  63.567  29.593  
779.641  32.852  58.137  
791.579  40.263  52.651  
803.517  17.933  70.511  
815.456  28.853  59.876  
827.394  60.399  34.967  
839.332  55.974  40.176  
851.271  37.197  58.658  
863.209  53.566  43.178  
875.147  48.111  47.675  
887.086  8.281  83.753  
899.024  26.605  68.349  
910.962  49.778  47.909  
922.901  44.014  54.195  
934.839  36.710  61.638  
946.777  57.400  41.551  
958.716  64.857  34.382  
970.654  58.117  41.186  
982.592  28.631  70.319  
994.531  3.614  95.314  
1006.469  28.254  71.212  
1018.408  34.235  65.411  
1030.346  23.759  75.902  
1042.284  29.825  69.885  
1054.223  54.556  45.271  
1066.161  66.899  32.991  
1078.099  68.979  30.928  
1090.038  63.281  36.620  
1101.976  47.819  52.053  
1113.914  20.906  78.910  
1125.853  14.632  85.178  
1137.791  26.147  73.700  
1149.729  27.989  71.871  
1161.668  17.911  81.932  
1173.606  4.168  95.648  
1185.544  22.830  77.026  
1197.483  47.974  51.934  
1209.421  60.558  39.374  
1221.359  65.710  34.232  
1233.298  66.051  33.893  
1245.236  62.150  37.787  
1257.174  53.456  46.464  
1269.113  40.069  59.825  
1281.051  30.794  69.083  
1292.989  35.614  64.273  
1304.928  43.224  56.678  
1316.866  46.654  53.256  
1328.805  45.143  54.767  
1340.743  38.205  61.691  
1352.681  24.769  75.096  
1364.620  6.567  93.255  
1376.558  1.361  98.443  
1388.496  18.350  81.492  
1400.435  35.761  64.119  
1412.373  46.527  53.374  
1424.311  52.322  47.589  
1436.250  54.428  45.488  
1448.188  53.510  46.405  
1460.126  49.817  50.091  
1472.065  43.637  56.258  
1484.003  36.739  63.141  
1495.941  34.292  65.583  
1507.880  39.528  60.359  
1519.818  47.794  52.110  
1531.756  54.742  45.174  
1543.695  59.421  40.504  
1555.633  62.006  37.925  
1567.571  62.753  37.179  
1579.510  61.766  38.163  
1591.448  58.849  41.075  
1603.386  53.028  46.888  
1615.325  43.514  56.389  
1627.263  29.524  70.359  
1639.202  12.906  86.954  
1651.140  3.267  96.585  
1663.078  7.269  92.597  
1675.017  16.220  83.666  
1686.955  22.916  76.986  
1698.893  25.861  74.049  
1710.832  25.145  74.769  
1722.770  21.014  78.900  
1734.708  14.155  85.757  
1746.647  7.488  92.423  
1758.585  7.609  92.308  
1770.523  17.575  82.357  
1782.462  31.109  68.839  
1794.400  42.663  57.298  
1806.338  51.109  48.862  
1818.277  56.927  43.050  
1830.215  60.463  39.520  
1842.153  62.828  37.155  
1854.092  64.289  35.693  
1866.030  64.970  35.012  
1877.968  64.948  35.035  
1889.907  64.260  35.724  
1901.845  62.912  37.078  
1913.783  60.892  39.098  
1925.722  58.172  41.815  
1937.660  54.729  45.255  
1949.598  50.587  49.398  
1961.537  45.919  54.071  
1973.475  41.141  58.846  
1985.414  37.015  62.972  
1997.352  34.455  65.535  
2009.290  33.980  66.009  
2021.229  35.291  64.693  
2033.167  37.625  62.354  
2045.105  40.231  59.740  
2057.044  42.613  57.345  
2068.982  44.522  55.427  
2080.920  45.856  54.094  
2092.859  46.592  53.364  
2104.797  46.717  53.251  
2116.735  46.215  53.756  
2128.674  45.070  54.898  
2140.612  43.261  56.703  
2152.550  40.755  59.205  
2164.489  37.504  62.449  
2176.427  33.456  66.484  
2188.365  28.586  71.342  
2200.304  22.920  76.995  
2212.242  16.631  83.279  
2224.180  10.200  89.724  
2236.119  4.517  95.412  
2248.057  0.814  99.107  
2259.995  0.166  99.751  
2271.934  2.767  97.152  
2283.872  7.803  92.116  
2295.811  14.030  85.880  
2307.749  20.418  79.482  
2319.687  26.370  73.524  
2331.626  31.634  68.255  
2343.564  36.152  63.738  
2355.502  39.959  59.937  
2367.441  43.115  56.785  
2379.379  45.689  54.210  
2391.317  47.745  52.152  
2403.256  49.338  50.558  
2415.194  50.514  49.382  
2427.132  51.310  48.583  
2439.071  51.759  48.129  
2451.009  51.884  47.997  
2462.947  51.704  48.169  
2474.886  51.231  48.634  
2486.824  50.476  49.378  
2498.762  49.454  50.385  
2510.701  48.188  51.634  
2522.639  46.709  53.094  
2534.577  45.050  54.732  
2546.516  43.274  56.486  
2558.454  41.470  58.255  
2570.392  39.760  59.922  
2582.331  38.305  61.333  
2594.269  37.272  62.321  
2606.208  36.815  62.735  
2618.146  37.027  62.478  
2630.084  37.907  61.554  
2642.023  39.373  60.043  
2653.961  41.286  58.048  
2665.899  43.474  55.788  
2677.838  45.769  53.433  
2689.776  48.051  51.012  
2701.714  50.222  48.635  
2713.653  52.213  46.354  
2725.591  53.982  44.140  
2737.529  55.443  42.024  
2749.468  56.676  40.218  
2761.406  57.580  39.298  
2773.344  58.528  38.930  
2785.283  59.558  38.437  
2797.221  60.366  37.751  
2809.159  61.024  37.170  
2821.098  61.508  36.682  
2833.036  61.816  36.327  
2844.974  61.979  36.060  
2856.913  62.008  35.905  
2868.851  61.932  35.948  
2880.789  61.748  36.140  
2892.728  61.476  36.508  
2904.666  61.095  37.002  
2916.605  60.602  37.638  
2928.543  59.984  38.409  
2940.481  59.240  39.330  
2952.420  58.335  40.343  
